,L,R,F,M,C
233,2014/03/31,26,83,94441,1.254728561
234,2014/03/31,317,10,122320,0.966
235,2014/03/31,1,116,136228,0.8661216490000001
236,2014/03/31,2,95,138873,0.849043083
237,2014/03/31,6,79,151183,0.7788971640000001
238,2014/03/31,7,76,86061,1.367977249
239,2014/03/31,1,100,91727,1.282347182
240,2014/03/31,1,107,165304,0.7108682190000001
241,2014/03/31,290,25,109336,1.074683178
242,2014/03/31,13,114,151625,0.774562836
243,2014/03/31,9,57,84080,1.3949203140000002
244,2014/03/31,22,76,119514,0.98076627
245,2014/03/31,99,11,111496,1.05
246,2014/03/31,30,43,94144,1.240551283
247,2014/03/31,22,20,148827,0.7845195429999999
248,2014/03/31,32,53,85000,1.373478
249,2014/03/31,4,56,82981,1.403768453
250,2014/03/31,2,84,140535,0.827823318
251,2014/03/31,6,111,141864,0.819703519
252,2014/03/31,18,109,126167,0.921339098
253,2014/03/31,5,60,98083,1.175007596
254,2014/03/31,3,61,161499,0.713012031
255,2014/03/31,9,43,93447,1.231469603
256,2014/03/31,5,149,157683,0.724336929
257,2014/03/31,4,43,111807,1.020765158
258,2014/03/31,83,56,114358,0.995827664
259,2014/03/31,3,94,109142,1.040933738
260,2014/03/31,13,84,139338,0.811427392
261,2014/03/31,9,16,107047,1.051401627
262,2014/03/31,17,128,131315,0.856878118
263,2014/03/31,2,124,130776,0.8600265340000001
264,2014/03/31,4,111,130622,0.8591966129999999
265,2014/03/31,1,77,134838,0.832180765
266,2014/03/31,22,42,77936,1.4360421369999998
267,2014/03/31,1,124,160524,0.695089955
268,2014/03/31,6,19,96503,1.156085303
269,2014/03/31,45,53,134627,0.828407972
270,2014/03/31,1,61,83245,1.337276713
271,2014/03/31,1,17,105377,1.056396083
272,2014/03/31,4,48,119036,0.934725209
273,2014/03/31,22,26,94249,1.178456641
274,2014/03/31,31,43,79426,1.3955870869999998
275,2014/03/31,61,87,115134,0.962306964
276,2014/03/31,1,114,124499,0.889901525
277,2014/03/31,20,54,75651,1.462917873
278,2014/03/31,20,68,163454,0.676618926
279,2014/03/31,6,112,134757,0.82046172
280,2014/03/31,13,73,163958,0.6731207379999999
281,2014/03/31,38,49,80641,1.368281891
282,2014/03/31,2,40,127004,0.868515165
283,2014/03/31,5,82,135413,0.81353969
284,2014/03/31,1,154,129582,0.8481413309999999
285,2014/03/31,13,58,145294,0.7557019559999999
286,2014/03/31,2,52,97731,1.120337764
287,2014/03/31,8,43,78765,1.388142957
288,2014/03/31,4,105,138593,0.7888733920000001
289,2014/03/31,4,97,116461,0.93836632
290,2014/03/31,112,17,121870,0.896000164
291,2014/03/31,59,32,77106,1.416159832
292,2014/03/31,5,37,119320,0.914270784
293,2014/03/31,5,86,159612,0.682643911
294,2014/03/31,13,62,139995,0.778110575
295,2014/03/31,11,67,127081,0.856602875
296,2014/03/31,8,84,129836,0.837625235
297,2014/03/31,8,117,132853,0.8163014759999999
298,2014/03/31,2,122,129272,0.837572715
299,2014/03/31,24,87,131029,0.82610529
300,2014/03/31,2,73,75413,1.434756209
301,2014/03/31,8,97,113939,0.949395993
302,2014/03/31,5,93,150612,0.7180637
303,2014/03/31,8,83,134621,0.8017396990000001
304,2014/03/31,11,105,145865,0.7375951740000001
305,2014/03/31,56,27,164336,0.654476682
306,2014/03/31,31,24,110964,0.968107765
307,2014/03/31,2,137,122439,0.874927107
308,2014/03/31,22,57,90144,1.187537496
309,2014/03/31,7,50,89115,1.201031476
310,2014/03/31,8,45,139898,0.765013009
311,2014/03/31,1,109,122024,0.877036239
312,2014/03/31,18,46,80830,1.32374168
313,2014/03/31,17,77,139876,0.763144213
314,2014/03/31,5,60,154736,0.689844509
315,2014/03/31,6,66,151383,0.705022823
316,2014/03/31,4,77,144030,0.74088551
317,2014/03/31,16,77,80208,1.325833583
318,2014/03/31,13,28,77108,1.3789923219999998
319,2014/03/31,113,34,143761,0.739229694
320,2014/03/31,9,62,141413,0.751386294
321,2014/03/31,34,53,73717,1.440717609
322,2014/03/31,4,37,72741,1.4590118369999998
323,2014/03/31,65,94,126174,0.839762709
324,2014/03/31,10,48,74411,1.4236073969999998
325,2014/03/31,5,52,73647,1.430674841
326,2014/03/31,1,52,135689,0.776371777
327,2014/03/31,33,59,127314,0.827179729
328,2014/03/31,9,72,149171,0.705943112
329,2014/03/31,13,47,76753,1.37078264
330,2014/03/31,9,107,169750,0.619739087
331,2014/03/31,23,96,136246,0.7718554670000001
332,2014/03/31,5,132,151273,0.694012613
333,2014/03/31,2,168,130985,0.8006591590000001
334,2014/03/31,17,49,125237,0.837061811
335,2014/03/31,136,12,103960,1.00799115
336,2014/03/31,13,36,109695,0.954319431
337,2014/03/31,77,21,137610,0.7606666670000001
338,2014/03/31,24,60,137654,0.760252081
339,2014/03/31,33,84,117382,0.8915401
340,2014/03/31,7,59,97219,1.075326325
341,2014/03/31,1,118,139566,0.746258043
342,2014/03/31,27,49,78417,1.327684941
343,2014/03/31,4,74,113789,0.91433425
344,2014/03/31,7,64,139827,0.7440065220000001
345,2014/03/31,19,47,71121,1.461826465
346,2014/03/31,1,46,71012,1.462023883
347,2014/03/31,7,115,115562,0.8967864
348,2014/03/31,13,28,72232,1.434513512
349,2014/03/31,351,12,100421,1.029644795
350,2014/03/31,8,65,93221,1.107523948
351,2014/03/31,66,24,183418,0.562442563
352,2014/03/31,4,50,135574,0.7601155829999999
353,2014/03/31,5,98,141053,0.728867305
354,2014/03/31,1,46,73338,1.3989986090000002
355,2014/03/31,17,61,114031,0.899280547
356,2014/03/31,84,28,82659,1.238878525
357,2014/03/31,68,28,73852,1.3861765419999998
358,2014/03/31,15,17,104641,0.978310605
359,2014/03/31,1,51,72274,1.416135816
360,2014/03/31,16,85,104969,0.974864579
361,2014/03/31,2,128,147767,0.69244581
362,2014/03/31,14,23,157186,0.6506196479999999
363,2014/03/31,2,78,121231,0.84343724
364,2014/03/31,1,67,135439,0.754458243
365,2014/03/31,1,96,131739,0.775295546
366,2014/03/31,20,118,143796,0.7100688479999999
367,2014/03/31,48,86,128754,0.792415925
368,2014/03/31,5,36,124032,0.82250645
369,2014/03/31,83,10,99312,1.025894957
370,2014/03/31,1,34,70486,1.443316261
371,2014/03/31,2,23,74910,1.357742091
372,2014/03/31,5,76,138952,0.7315326879999999
373,2014/03/31,19,45,145724,0.696498655
374,2014/03/31,18,111,145458,0.697522309
375,2014/03/31,25,47,82382,1.230913428
376,2014/03/31,1,84,75766,1.337146213
377,2014/03/31,1,134,116627,0.8674246959999999
378,2014/03/31,3,46,130782,0.7711733270000001
379,2014/03/31,6,96,135009,0.746628299
380,2014/03/31,94,16,107690,0.936013465
381,2014/03/31,11,83,133367,0.7554607959999999
382,2014/03/31,3,93,109943,0.91579564
383,2014/03/31,6,13,159016,0.632307692
384,2014/03/31,2,36,113253,0.886428351
385,2014/03/31,11,73,123568,0.810458452
386,2014/03/31,1,98,76759,1.303309449
387,2014/03/31,3,116,140571,0.7104835279999999
388,2014/03/31,17,61,81113,1.230116011
389,2014/03/31,13,85,70965,1.401901923
390,2014/03/31,10,48,68459,1.453157218
391,2014/03/31,6,104,137698,0.7217528940000001
392,2014/03/31,12,57,84129,1.179321043
393,2014/03/31,9,43,130985,0.757415506
394,2014/03/31,12,101,117880,0.841051069
395,2014/03/31,2,69,141164,0.7021256840000001
396,2014/03/31,5,71,70069,1.413737887
397,2014/03/31,5,124,118049,0.837548052
398,2014/03/31,18,86,89195,1.10819519
399,2014/03/31,12,82,120536,0.8186665390000001
400,2014/03/31,1,122,137879,0.7144708040000001
401,2014/03/31,20,18,136876,0.718332944
402,2014/03/31,22,39,70792,1.387449853
403,2014/03/31,4,83,112709,0.870657357
404,2014/03/31,1,81,99888,0.982403492
405,2014/03/31,34,66,111545,0.8786453000000002
406,2014/03/31,41,46,71622,1.365195471
407,2014/03/31,3,75,131146,0.745084105
408,2014/03/31,79,69,126180,0.7741921070000001
409,2014/03/31,10,45,68136,1.432941764
410,2014/03/31,4,36,66829,1.460493648
411,2014/03/31,1,106,130691,0.7464892759999999
412,2014/03/31,19,64,66612,1.464381643
413,2014/03/31,6,61,132797,0.7340983609999999
414,2014/03/31,1,67,123556,0.788739195
415,2014/03/31,30,52,125190,0.778333174
416,2014/03/31,13,21,138363,0.704172358
417,2014/03/31,9,100,116315,0.8364075999999999
418,2014/03/31,1,119,100147,0.971327249
419,2014/03/31,20,79,74503,1.305487564
420,2014/03/31,4,101,118160,0.822947613
421,2014/03/31,5,116,129478,0.750052132
422,2014/03/31,85,42,74368,1.303695272
423,2014/03/31,3,82,126149,0.7679306220000001
424,2014/03/31,11,96,134194,0.72174598
425,2014/03/31,11,79,124218,0.779597965
426,2014/03/31,4,133,143216,0.675632052
427,2014/03/31,15,73,134897,0.7170868140000001
428,2014/03/31,1,58,122349,0.7904340040000001
429,2014/03/31,135,19,130168,0.7423071720000001
430,2014/03/31,1,62,76356,1.265360941
431,2014/03/31,5,46,67761,1.425841856
432,2014/03/31,16,38,66550,1.450518407
433,2014/03/31,23,65,112320,0.858959758
434,2014/03/31,13,15,99645,0.968166892
435,2014/03/31,2,93,127824,0.754275019
436,2014/03/31,6,13,147883,0.6511630820000001
437,2014/03/31,4,60,118514,0.811934708
438,2014/03/31,2,93,117159,0.82114127
439,2014/03/31,15,83,134851,0.712543548
440,2014/03/31,16,44,108388,0.8862730190000001
441,2014/03/31,8,62,112125,0.855358305
442,2014/03/31,2,89,78410,1.221743017
443,2014/03/31,2,78,121245,0.789605839
444,2014/03/31,26,39,70142,1.3639718
445,2014/03/31,14,101,102834,0.929938153
446,2014/03/31,17,44,65769,1.452790676
447,2014/03/31,32,31,69453,1.375394871
448,2014/03/31,7,75,122158,0.781846052
449,2014/03/31,18,93,106705,0.894763601
450,2014/03/31,20,54,71496,1.33526505
451,2014/03/31,18,73,76834,1.242032954
452,2014/03/31,2,70,98334,0.969874916
453,2014/03/31,14,36,102876,0.926531747
454,2014/03/31,5,45,67936,1.401278409
455,2014/03/31,14,97,66431,1.432786199
456,2014/03/31,10,107,132823,0.715139321
457,2014/03/31,8,123,111589,0.8507229209999999
458,2014/03/31,29,38,67361,1.408719882
459,2014/03/31,13,98,129338,0.7335678609999999
460,2014/03/31,7,33,65345,1.4518301319999998
461,2014/03/31,6,39,68043,1.393603751
462,2014/03/31,8,72,73670,1.286411022
463,2014/03/31,6,83,126476,0.7490311209999999
464,2014/03/31,4,66,121756,0.7776507109999999
465,2014/03/31,37,46,120983,0.78231049
466,2014/03/31,9,65,102504,0.923260068
467,2014/03/31,5,99,123899,0.763360156
468,2014/03/31,4,54,64453,1.463962112
469,2014/03/31,16,65,107397,0.8783021870000001
470,2014/03/31,243,27,100143,0.941445133
471,2014/03/31,21,36,72186,1.302530408
472,2014/03/31,20,61,71752,1.306106868
473,2014/03/31,32,49,65717,1.425973949
474,2014/03/31,3,46,71260,1.314534381
475,2014/03/31,6,103,125149,0.7469010540000001
476,2014/03/31,73,52,76072,1.228696235
477,2014/03/31,9,36,68799,1.35804096
478,2014/03/31,12,37,66530,1.4023350369999998
479,2014/03/31,14,100,64900,1.4373
480,2014/03/31,7,51,87589,1.06409081
481,2014/03/31,12,69,125139,0.742781227
482,2014/03/31,8,82,109233,0.8508076309999999
483,2014/03/31,17,13,95577,0.971737343
484,2014/03/31,25,65,74458,1.246913025
485,2014/03/31,5,45,74389,1.247410235
486,2014/03/31,2,118,137477,0.67473221
487,2014/03/31,11,75,127816,0.7257207240000001
488,2014/03/31,1,56,117444,0.789488352
489,2014/03/31,6,73,128233,0.720501275
490,2014/03/31,17,66,82682,1.1168940040000002
491,2014/03/31,6,21,139888,0.660121097
492,2014/03/31,4,78,114244,0.8077245190000001
493,2014/03/31,2,90,122350,0.753979567
494,2014/03/31,8,80,120362,0.766244247
495,2014/03/31,85,20,121103,0.761441087
496,2014/03/31,31,80,117968,0.781219907
497,2014/03/31,34,95,104659,0.87833354
498,2014/03/31,2,99,117708,0.7805520440000001
499,2014/03/31,17,90,128188,0.716619964
500,2014/03/31,1,33,63453,1.447113927
501,2014/03/31,12,73,110537,0.8304361440000001
502,2014/03/31,18,127,124500,0.7372848190000001
503,2014/03/31,158,83,114627,0.8003160690000001
504,2014/03/31,8,27,90731,1.010241814
505,2014/03/31,1,97,149015,0.614937825
506,2014/03/31,7,77,104572,0.875997495
507,2014/03/31,65,19,86805,1.053728357
508,2014/03/31,41,13,125853,0.72670131
509,2014/03/31,1,139,129859,0.703798197
510,2014/03/31,6,86,113677,0.803908618
511,2014/03/31,2,82,123788,0.7376269109999999
512,2014/03/31,31,41,91797,0.9943289
513,2014/03/31,2,72,120888,0.7550119120000001
514,2014/03/31,11,82,116502,0.782969391
515,2014/03/31,4,83,66764,1.36549308
516,2014/03/31,14,92,103985,0.8751388179999999
517,2014/03/31,25,49,98732,0.920499534
518,2014/03/31,10,74,126274,0.719323851
519,2014/03/31,4,78,106195,0.854748717
520,2014/03/31,9,49,105720,0.858548997
521,2014/03/31,29,44,69154,1.311839518
522,2014/03/31,13,26,103395,0.8757814209999999
523,2014/03/31,2,85,124022,0.729566125
524,2014/03/31,5,49,62116,1.454720362
525,2014/03/31,5,69,105755,0.854199991
526,2014/03/31,8,53,114734,0.7872666340000001
527,2014/03/31,67,11,134552,0.6709090910000001
528,2014/03/31,10,55,117957,0.76517731
529,2014/03/31,14,39,63230,1.4274219519999998
530,2014/03/31,34,18,124386,0.725114241
531,2014/03/31,22,63,137264,0.656078433
532,2014/03/31,181,23,169931,0.529890073
533,2014/03/31,13,55,103869,0.8668173370000001
534,2014/03/31,24,36,112436,0.7999573090000001
535,2014/03/31,8,43,69158,1.299686515
536,2014/03/31,2,59,78595,1.142706025
537,2014/03/31,4,69,98267,0.913754872
538,2014/03/31,27,77,149556,0.600361671
539,2014/03/31,21,75,113205,0.793122565
540,2014/03/31,14,89,98446,0.911670561
541,2014/03/31,1,51,71594,1.251371344
542,2014/03/31,65,15,84976,1.053199256
543,2014/03/31,10,51,121900,0.7337164890000001
544,2014/03/31,13,63,84110,1.062971704
545,2014/03/31,3,67,114895,0.77813186
546,2014/03/31,58,35,102698,0.869739722
547,2014/03/31,3,31,112940,0.789749247
548,2014/03/31,4,63,131617,0.677294726
549,2014/03/31,1,95,112565,0.7918911740000001
550,2014/03/31,13,97,111809,0.7958487240000001
551,2014/03/31,9,67,124788,0.712584784
552,2014/03/31,2,101,119673,0.742826118
553,2014/03/31,21,60,131743,0.6731966779999999
554,2014/03/31,38,12,121632,0.7283333329999999
555,2014/03/31,3,48,63061,1.4044699580000002
556,2014/03/31,3,52,62006,1.427972616
557,2014/03/31,9,11,80261,1.09967805
558,2014/03/31,2,92,108930,0.8101632240000001
559,2014/03/31,1,67,116848,0.754195707
560,2014/03/31,6,47,68720,1.280616269
561,2014/03/31,46,109,144111,0.61047623
562,2014/03/31,12,82,135759,0.6466828720000001
563,2014/03/31,21,68,107075,0.819026757
564,2014/03/31,16,79,113061,0.775295725
565,2014/03/31,11,74,119277,0.734588563
566,2014/03/31,113,31,59830,1.463755474
567,2014/03/31,8,34,87326,1.001857522
568,2014/03/31,3,74,126760,0.690051909
569,2014/03/31,7,7,85624,1.021428571
570,2014/03/31,93,36,118329,0.739067177
571,2014/03/31,9,43,71368,1.224596738
572,2014/03/31,36,106,128750,0.678582369
573,2014/03/31,3,89,106167,0.82264602
574,2014/03/31,104,62,89752,0.972563954
575,2014/03/31,11,36,63184,1.380619144
576,2014/03/31,12,51,118422,0.73627451
577,2014/03/31,5,69,119146,0.731558088
578,2014/03/31,1,84,90564,0.962312287
579,2014/03/31,5,68,109665,0.794431222
580,2014/03/31,3,20,113068,0.7694140690000001
581,2014/03/31,89,27,106399,0.8167115290000001
582,2014/03/31,2,64,114718,0.757229554
583,2014/03/31,7,113,147384,0.589203374
584,2014/03/31,2,40,60149,1.4430294769999998
585,2014/03/31,2,80,138420,0.624723523
586,2014/03/31,41,53,113194,0.76250826
587,2014/03/31,1,109,123276,0.700098478
588,2014/03/31,4,70,112890,0.764457525
589,2014/03/31,9,35,62808,1.37325484
590,2014/03/31,29,34,65969,1.307116221
591,2014/03/31,27,88,110192,0.782405619
592,2014/03/31,10,101,104916,0.821220119
593,2014/03/31,15,44,123585,0.697107982
594,2014/03/31,1,57,124821,0.6901963609999999
595,2014/03/31,11,43,70258,1.225645051
596,2014/03/31,4,57,101773,0.846069291
597,2014/03/31,11,82,121881,0.705870234
598,2014/03/31,23,69,94964,0.903869993
599,2014/03/31,44,63,102801,0.833366699
600,2014/03/31,230,12,84488,1.013213001
601,2014/03/31,17,69,99590,0.8593490309999999
602,2014/03/31,4,88,92775,0.922312153
603,2014/03/31,3,59,133334,0.6414616679999999
604,2014/03/31,10,40,133403,0.640861525
605,2014/03/31,86,13,113580,0.752468392
606,2014/03/31,11,68,119701,0.7120725809999999
607,2014/03/31,3,69,119959,0.7104411509999999
608,2014/03/31,4,38,63749,1.335886053
609,2014/03/31,18,97,95578,0.8904420470000001
610,2014/03/31,34,13,96745,0.8791565459999999
611,2014/03/31,3,84,124877,0.680674344
612,2014/03/31,79,33,60566,1.400179804
613,2014/03/31,25,61,129994,0.652295875
614,2014/03/31,17,87,114443,0.740124516
615,2014/03/31,13,17,105518,0.80243475
616,2014/03/31,3,62,104351,0.810345085
617,2014/03/31,2,79,102926,0.8209831340000001
